Platform,Sum of Global_Sales,,,
2600,97.08,,Avrege Sales,288
SAT,33.59,,Max Sales,1255.64
3DO,0.1,,Min Sales,0.03
3DS,247.46,,,
DC,15.97,,,
DS,822.49,,,
GB,255.45,,,
GBA,318.5,,,
GC,199.36,,,
GEN,28.36,,,
GG,0.04,,,
N64,218.88,,,
NES,251.07,,,
NG,1.44,,,
PC,258.82,,,
PCFX,0.03,,,
PS,730.66,,,
PS2,1255.64,,,
PS3,957.84,,,
PS4,278.1,,,
PSP,296.28,,,
PSV,61.93,,,
SCD,1.87,,,
SNES,200.05,,,
TG16,0.16,,,
Wii,926.71,,,
WiiU,81.86,,,
WS,1.42,,,
X360,979.96,,,
XB,258.26,,,
XOne,141.06,,,
(blank),,,,
Grand Total,8920.44,,,
,,,,
,,,,
,,,,
,,,,
This is sales based on Platform,,,,